date,Americas,China,EU,Korea,Taiwan
2019-03-14,112104.06944444444,181511.84722222222,170640.41176470587,230238.23611111112,264087.09722222225
2019-03-15,111337.76388888889,182772.73611111112,168564.43055555556,231320.93055555556,262570.6111111111
2019-03-16,110226.36111111111,182782.65277777778,168439.90277777778,231791.09722222222,260608.625
2019-03-17,111759.25,182612.56944444444,168776.875,230428.125,260688.90277777778
2019-03-18,115107.48611111111,182358.77777777778,170251.5,231160.31944444444,261068.65277777778
2019-03-19,114727.55555555556,181853.54166666666,171980.69444444444,230463.11111111112,260776.18055555556
2019-03-20,113959.88888888889,181391.93055555556,171368.20754716982,231307.58333333334,260342.22222222222
2019-03-21,113791.70833333333,180769.11111111112,172466.90277777778,223891.41666666666,259369.375
2019-03-22,114069.01388888889,181501.25,172363.51388888888,224010.59722222222,258470.30555555556
2019-03-23,115218.43055555556,181169.375,172838.61111111112,219642.98611111112,258402.76388888888
2019-03-24,115755.56944444444,182925.06944444444,178423.20833333334,228762.61111111112,259998.55555555556
2019-03-25,118877.81944444444,181721.13888888888,178480.98611111112,230766.70491803277,262320.35
2019-03-26,119370.98611111111,186858.38888888888,188882.63888888888,247072.64814814815,265555.8888888889
2019-03-27,117723.80555555556,186661.125,179054.27777777778,241883.5,263386.05555555556
2019-03-28,119787.13888888889,184442.30555555556,177160.625,247895.80555555556,261014.04166666666
2019-03-29,119017.33333333333,184627.56944444444,175310.93055555556,244076.72222222222,262013.97222222222
2019-03-30,117275.11111111111,184141.08333333334,172861.20833333334,237611.01388888888,259512.19444444444
2019-03-31,118559.01388888889,183825.40277777778,174516.5,231880.375,259837.41666666666
2019-04-01,119466.65277777778,186503.03333333333,176500.72222222222,224694.54166666666,261070.73611111112
2019-04-02,118587.97222222222,185885.13235294117,172986.76388888888,226546.26388888888,261880.5
2019-04-03,118126.56944444444,185231.54166666666,173960.77777777778,234973.51388888888,260622.93055555556
2019-04-04,118164.56944444444,184115.29166666666,173248.81944444444,229260.38888888888,260940.63888888888
2019-04-05,117314.59722222222,183432.66666666666,173426.11111111112,221817.83333333334,261381.52777777778
2019-04-06,117690.98611111111,182747.55555555556,172064.06944444444,222219.61111111112,259945.68055555556
2019-04-07,117676.70833333333,184380.23611111112,172353.65277777778,223784.25,260342.77777777778
2019-04-08,120781.66666666667,186346.55555555556,174029.20833333334,229188.55555555556,262133.20833333334
2019-04-09,120586.25,186855.57142857142,175188.06944444444,232238.54166666666,261951.84722222222
2019-04-10,119540.45833333333,183823.04166666666,175101.30555555556,226028.65277777778,262790.75
2019-04-11,119442.86111111111,185823.34722222222,174591.34722222222,230787.47222222222,262402.06944444444
2019-04-12,119534.0,186843.86111111112,174087.06944444444,230548.95652173914,262873.1111111111
2019-04-13,118191.77777777778,187450.94029850746,174867.63888888888,226984.25,262425.6111111111
2019-04-14,119384.84722222222,187331.0704225352,174889.63888888888,235433.93055555556,265161.0
2019-04-15,120863.15277777778,187217.70833333334,176080.01388888888,237630.55555555556,265156.7361111111
2019-04-16,119358.28571428571,188489.76388888888,176448.01388888888,232537.94444444444,263571.6388888889
2019-04-17,120411.83333333333,189066.91666666666,175360.44444444444,235376.51428571428,265425.5416666667
2019-04-18,119386.11111111111,188116.70833333334,173395.73611111112,238641.97222222222,267427.3611111111
2019-04-19,118413.08333333333,187698.70833333334,172688.90277777778,232921.16666666666,262891.52777777775
2019-04-20,117853.30555555556,188377.30555555556,172673.83333333334,232764.48611111112,260786.95833333334
2019-04-21,118386.90277777778,187598.66666666666,172858.80555555556,234804.77777777778,263254.0138888889
2019-04-22,119310.41666666667,188866.65277777778,174170.0,237539.16666666666,263448.6111111111
2019-04-23,118887.70833333333,188715.93055555556,176100.88888888888,234579.70833333334,263763.69444444444
2019-04-24,118295.56944444444,188906.18055555556,174912.48611111112,238993.73611111112,267909.68055555556
2019-04-25,119112.77777777778,190666.70833333334,175044.47222222222,245815.56944444444,270544.9861111111
2019-04-26,119309.45833333333,193063.40277777778,173603.76388888888,238085.13888888888,275273.3888888889
2019-04-27,118913.44444444444,191222.77777777778,172603.69444444444,239301.70833333334,268262.25
